법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
4686025023,46860001,전라남도 함평군1,전라남도 함평군 함평읍(맷돌중분식 부근),3,3,0,3,0,0,126.5204433,35.06368513,"{""type"":""Polygon"",""coordinates"":[[[126.5219937,35.0649599],[126.5216615,35.0651841],[126.5212824,35.0653506],[126.5208711,35.0654532],[126.5204433,35.0654879],[126.5200156,35.0654532],[126.5196042,35.0653506],[126.5192252,35.0651841],[126.5188929,35.0649599],[126.5186202,35.0646867],[126.5184176,35.064375],[126.5182929,35.0640368],[126.5182507,35.0636851],[126.5182929,35.0633334],[126.5184177,35.0629952],[126.5186203,35.0626836],[126.518893,35.0624104],[126.5192252,35.0621862],[126.5196043,35.0620196],[126.5200156,35.061917],[126.5204433,35.0618824],[126.520871,35.061917],[126.5212823,35.0620196],[126.5216614,35.0621862],[126.5219937,35.0624104],[126.5222663,35.0626836],[126.522469,35.0629952],[126.5225937,35.0633334],[126.5226359,35.0636851],[126.5225938,35.0640368],[126.522469,35.064375],[126.5222664,35.0646867],[126.5219937,35.0649599]]]}"
4686025000,46860001,전라남도 함평군1,전라남도 함평군 함평읍(KT함평지점입구 부근),5,5,0,5,0,0,126.5227379,35.06268325,"{""type"":""Polygon"",""coordinates"":[[[126.52453455,35.06268325],[126.52450003,35.06239635],[126.52439779,35.06212048],[126.52423176,35.06186623],[126.52400833,35.06164338],[126.52373607,35.06146049],[126.52342546,35.06132459],[126.52308842,35.06124091],[126.52273792,35.06121265],[126.52238741,35.06124091],[126.52205038,35.06132459],[126.52173976,35.06146049],[126.52146751,35.06164338],[126.52124407,35.06186623],[126.52107805,35.06212048],[126.52097581,35.06239635],[126.52094129,35.06268325],[126.52097581,35.06297014],[126.52107805,35.06324601],[126.52124407,35.06350026],[126.52146751,35.0637231],[126.52173976,35.06390599],[126.52205038,35.06404188],[126.52238741,35.06412556],[126.52273792,35.06415382],[126.52308842,35.06412556],[126.52342546,35.06404188],[126.52373607,35.06390599],[126.52400833,35.0637231],[126.52423176,35.06350026],[126.52439779,35.06324601],[126.52450003,35.06297014],[126.52453455,35.06268325]]]}"
