사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
196825,2014105,4884033022,48840001,경상남도 남해군1,경상남도 남해군 삼동면(소망제과 부근),3,3,1,2,0,0,127.999866,34.83159017,"{""type"":""Polygon"",""coordinates"":[[[128.001412,34.8328649],[128.0010807,34.8330891],[128.0007027,34.8332557],[128.0002925,34.8333583],[127.999866,34.833393],[127.9994394,34.8333583],[127.9990293,34.8332557],[127.9986513,34.8330891],[127.9983199,34.8328649],[127.998048,34.8325917],[127.997846,34.8322801],[127.9977216,34.8319419],[127.9976796,34.8315901],[127.9977216,34.8312384],[127.997846,34.8309002],[127.9980481,34.8305886],[127.99832,34.8303154],[127.9986513,34.8300912],[127.9990293,34.8299246],[127.9994394,34.829822],[127.999866,34.8297873],[128.0002925,34.829822],[128.0007026,34.8299246],[128.0010806,34.8300912],[128.001412,34.8303154],[128.0016839,34.8305886],[128.0018859,34.8309002],[128.0020103,34.8312384],[128.0020524,34.8315901],[128.0020104,34.8319419],[128.001886,34.8322801],[128.0016839,34.8325917],[128.001412,34.8328649]]]}"
6100204,2015048,4884025000,48840001,경상남도 남해군1,경상남도 남해군 남해읍(법무사황기성사무소 부근),6,6,0,4,2,0,127.8937162,34.83962094,"{""type"":""Polygon"",""coordinates"":[[[127.8952624,34.8408957],[127.8949311,34.8411199],[127.894553,34.8412865],[127.8941428,34.8413891],[127.8937162,34.8414238],[127.8932897,34.8413891],[127.8928795,34.8412865],[127.8925014,34.8411199],[127.8921701,34.8408957],[127.8918981,34.8406225],[127.8916961,34.8403108],[127.8915716,34.8399726],[127.8915296,34.8396209],[127.8915717,34.8392692],[127.8916961,34.838931],[127.8918982,34.8386193],[127.8921701,34.8383461],[127.8925015,34.8381219],[127.8928795,34.8379554],[127.8932897,34.8378528],[127.8937162,34.8378181],[127.8941428,34.8378528],[127.894553,34.8379554],[127.894931,34.8381219],[127.8952624,34.8383461],[127.8955343,34.8386193],[127.8957364,34.838931],[127.8958608,34.8392692],[127.8959029,34.8396209],[127.8958608,34.8399726],[127.8957364,34.8403108],[127.8955344,34.8406225],[127.8952624,34.8408957]]]}"
6404789,2018029,4884025021,48840001,경상남도 남해군1,경상남도 남해군 남해읍(중앙약국 부근),4,5,0,4,1,0,127.894076,34.8386921,"{""type"":""Polygon"",""coordinates"":[[[127.89587264,34.8386921],[127.89583812,34.83840442],[127.89573588,34.83812779],[127.89556985,34.83787285],[127.89534642,34.83764939],[127.89507416,34.837466],[127.89476355,34.83732973],[127.89442652,34.83724582],[127.89407601,34.83721748],[127.8937255,34.83724582],[127.89338847,34.83732973],[127.89307786,34.837466],[127.8928056,34.83764939],[127.89258217,34.83787285],[127.89241614,34.83812779],[127.8923139,34.83840442],[127.89227938,34.8386921],[127.8923139,34.83897978],[127.89241614,34.83925641],[127.89258217,34.83951135],[127.8928056,34.8397348],[127.89307786,34.83991819],[127.89338847,34.84005445],[127.8937255,34.84013837],[127.89407601,34.8401667],[127.89442652,34.84013837],[127.89476355,34.84005445],[127.89507416,34.83991819],[127.89534642,34.8397348],[127.89556985,34.83951135],[127.89573588,34.83925641],[127.89583812,34.83897978],[127.89587264,34.8386921]]]}"
6398082,2018029,4884025021,48840002,경상남도 남해군2,경상남도 남해군 남해읍(우리약국 부근),4,4,0,4,0,0,127.8947415,34.84203876,"{""type"":""Polygon"",""coordinates"":[[[127.89653813,34.84203876],[127.8965036,34.84175109],[127.89640137,34.84147448],[127.89623534,34.84121955],[127.89601191,34.84099609],[127.89573965,34.84081271],[127.89542904,34.84067645],[127.895092,34.84059254],[127.8947415,34.8405642],[127.89439099,34.84059254],[127.89405395,34.84067645],[127.89374334,34.84081271],[127.89347109,34.84099609],[127.89324765,34.84121955],[127.89308163,34.84147448],[127.89297939,34.84175109],[127.89294487,34.84203876],[127.89297939,34.84232643],[127.89308163,34.84260305],[127.89324765,34.84285798],[127.89347109,34.84308142],[127.89374334,34.8432648],[127.89405395,34.84340106],[127.89439099,34.84348497],[127.8947415,34.8435133],[127.895092,34.84348497],[127.89542904,34.84340106],[127.89573965,34.8432648],[127.89601191,34.84308142],[127.89623534,34.84285798],[127.89640137,34.84260305],[127.8965036,34.84232643],[127.89653813,34.84203876]]]}"
6506173,2019036,4884025021,48840001,경상남도 남해군1,경상남도 남해군 남해읍(하나로마트 남해농협 본점 부근),4,4,0,4,0,0,127.8939326,34.84214058,"{""type"":""Polygon"",""coordinates"":[[[127.89572923,34.84214058],[127.8956947,34.84185291],[127.89559247,34.84157629],[127.89542644,34.84132136],[127.89520301,34.84109791],[127.89493075,34.84091453],[127.89462014,34.84077827],[127.8942831,34.84069435],[127.8939326,34.84066602],[127.89358209,34.84069435],[127.89324506,34.84077827],[127.89293444,34.84091453],[127.89266219,34.84109791],[127.89243875,34.84132136],[127.89227273,34.84157629],[127.89217049,34.84185291],[127.89213597,34.84214058],[127.89217049,34.84242825],[127.89227273,34.84270486],[127.89243875,34.84295979],[127.89266219,34.84318324],[127.89293444,34.84336661],[127.89324506,34.84350287],[127.89358209,34.84358678],[127.8939326,34.84361511],[127.8942831,34.84358678],[127.89462014,34.84350287],[127.89493075,34.84336661],[127.89520301,34.84318324],[127.89542644,34.84295979],[127.89559247,34.84270486],[127.8956947,34.84242825],[127.89572923,34.84214058]]]}"
6615061,2020027,4884025000,48840001,경상남도 남해군1,경상남도 남해군 남해읍(화전로96 부근),10,10,0,10,0,0,127.8948613,34.84054399,"{""type"":""Polygon"",""coordinates"":[[[127.89665791,34.84054399],[127.89662339,34.84025631],[127.89652115,34.83997969],[127.89635513,34.83972476],[127.89613169,34.8395013],[127.89585944,34.83931792],[127.89554882,34.83918165],[127.89521179,34.83909773],[127.89486128,34.8390694],[127.89451078,34.83909773],[127.89417374,34.83918165],[127.89386313,34.83931792],[127.89359087,34.8395013],[127.89336744,34.83972476],[127.89320141,34.83997969],[127.89309917,34.84025631],[127.89306465,34.84054399],[127.89309917,34.84083166],[127.89320141,34.84110828],[127.89336744,34.84136322],[127.89359087,34.84158667],[127.89386313,34.84177005],[127.89417374,34.84190631],[127.89451078,34.84199022],[127.89486128,34.84201855],[127.89521179,34.84199022],[127.89554882,34.84190631],[127.89585944,34.84177005],[127.89613169,34.84158667],[127.89635513,34.84136322],[127.89652115,34.84110828],[127.89662339,34.84083166],[127.89665791,34.84054399]]]}"
