사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6250879,2017029,4148010100,41480001,경기도 파주시1,경기도 파주시 금촌동((양평해장국앞) 부근),7,8,1,5,2,0,126.7753828,37.75868638,"{""type"":""Polygon"",""coordinates"":[[[126.77717939,37.75868638],[126.77714487,37.75840927],[126.77704263,37.75814281],[126.7768766,37.75789724],[126.77665317,37.75768199],[126.77638091,37.75750534],[126.7760703,37.75737408],[126.77573327,37.75729325],[126.77538276,37.75726596],[126.77503225,37.75729325],[126.77469522,37.75737408],[126.77438461,37.75750534],[126.77411235,37.75768199],[126.77388892,37.75789724],[126.77372289,37.75814281],[126.77362065,37.75840927],[126.77358613,37.75868638],[126.77362065,37.75896349],[126.77372289,37.75922995],[126.77388892,37.75947552],[126.77411235,37.75969076],[126.77438461,37.7598674],[126.77469522,37.75999866],[126.77503225,37.76007949],[126.77538276,37.76010678],[126.77573327,37.76007949],[126.7760703,37.75999866],[126.77638091,37.7598674],[126.77665317,37.75969076],[126.7768766,37.75947552],[126.77704263,37.75922995],[126.77714487,37.75896349],[126.77717939,37.75868638]]]}"
6242950,2017029,4148025021,41480002,경기도 파주시2,경기도 파주시 문산읍((한평부동산앞) 부근),4,4,1,3,0,0,126.7856074,37.85554452,"{""type"":""Polygon"",""coordinates"":[[[126.78740405,37.85554452],[126.78736953,37.85526777],[126.78726729,37.85500166],[126.78710126,37.85475641],[126.78687783,37.85454144],[126.78660557,37.85436503],[126.78629496,37.85423394],[126.78595792,37.85415321],[126.78560742,37.85412595],[126.78525691,37.85415321],[126.78491988,37.85423394],[126.78460926,37.85436503],[126.78433701,37.85454144],[126.78411358,37.85475641],[126.78394755,37.85500166],[126.78384531,37.85526777],[126.78381079,37.85554452],[126.78384531,37.85582126],[126.78394755,37.85608737],[126.78411358,37.85633262],[126.78433701,37.85654757],[126.78460926,37.85672399],[126.78491988,37.85685507],[126.78525691,37.85693579],[126.78560742,37.85696305],[126.78595792,37.85693579],[126.78629496,37.85685507],[126.78660557,37.85672399],[126.78687783,37.85654757],[126.78710126,37.85633262],[126.78726729,37.85608737],[126.78736953,37.85582126],[126.78740405,37.85554452]]]}"
6242552,2017029,4148035027,41480003,경기도 파주시3,경기도 파주시 광탄면(광신교 부근),3,3,0,1,2,0,126.8465093,37.78261331,"{""type"":""Polygon"",""coordinates"":[[[126.84830597,37.78261331],[126.84827145,37.78233629],[126.84816921,37.78206992],[126.84800318,37.78182442],[126.84777975,37.78160925],[126.84750749,37.78143265],[126.84719688,37.78130143],[126.84685984,37.78122063],[126.84650934,37.78119335],[126.84615883,37.78122063],[126.8458218,37.78130143],[126.84551118,37.78143265],[126.84523893,37.78160925],[126.84501549,37.78182442],[126.84484947,37.78206992],[126.84474723,37.78233629],[126.84471271,37.78261331],[126.84474723,37.78289033],[126.84484947,37.7831567],[126.84501549,37.78340219],[126.84523893,37.78361736],[126.84551118,37.78379395],[126.8458218,37.78392516],[126.84615883,37.78400596],[126.84650934,37.78403325],[126.84685984,37.78400596],[126.84719688,37.78392516],[126.84750749,37.78379395],[126.84777975,37.78361736],[126.84800318,37.78340219],[126.84816921,37.7831567],[126.84827145,37.78289033],[126.84830597,37.78261331]]]}"
6398110,2018029,4148026221,41480001,경기도 파주시1,경기도 파주시 조리읍(파주약국 부근),6,6,0,4,2,0,126.8070009,37.74369433,"{""type"":""Polygon"",""coordinates"":[[[126.80879748,37.74369433],[126.80876296,37.74341717],[126.80866072,37.74315065],[126.80849469,37.74290503],[126.80827126,37.74268974],[126.80799901,37.74251306],[126.80768839,37.74238177],[126.80735136,37.74230092],[126.80700085,37.74227362],[126.80665035,37.74230092],[126.80631331,37.74238177],[126.8060027,37.74251306],[126.80573044,37.74268974],[126.80550701,37.74290503],[126.80534098,37.74315065],[126.80523874,37.74341717],[126.80520422,37.74369433],[126.80523874,37.7439715],[126.80534098,37.74423801],[126.80550701,37.74448363],[126.80573044,37.74469891],[126.8060027,37.74487559],[126.80631331,37.74500688],[126.80665035,37.74508772],[126.80700085,37.74511502],[126.80735136,37.74508772],[126.80768839,37.74500688],[126.80799901,37.74487559],[126.80827126,37.74469891],[126.80849469,37.74448363],[126.80866072,37.74423801],[126.80876296,37.7439715],[126.80879748,37.74369433]]]}"
6402552,2018029,4148025021,41480002,경기도 파주시2,경기도 파주시 문산읍(문산우체국 부근),4,4,0,3,1,0,126.7857056,37.85575109,"{""type"":""Polygon"",""coordinates"":[[[126.78750223,37.85575109],[126.78746771,37.85547435],[126.78736547,37.85520824],[126.78719944,37.85496299],[126.78697601,37.85474802],[126.78670376,37.85457161],[126.78639314,37.85444052],[126.78605611,37.85435979],[126.7857056,37.85433254],[126.7853551,37.85435979],[126.78501806,37.85444052],[126.78470745,37.85457161],[126.78443519,37.85474802],[126.78421176,37.85496299],[126.78404573,37.85520824],[126.78394349,37.85547435],[126.78390897,37.85575109],[126.78394349,37.85602784],[126.78404573,37.85629394],[126.78421176,37.85653919],[126.78443519,37.85675415],[126.78470745,37.85693056],[126.78501806,37.85706165],[126.7853551,37.85714237],[126.7857056,37.85716962],[126.78605611,37.85714237],[126.78639314,37.85706165],[126.78670376,37.85693056],[126.78697601,37.85675415],[126.78719944,37.85653919],[126.78736547,37.85629394],[126.78746771,37.85602784],[126.78750223,37.85575109]]]}"
6402551,2018029,4148010100,41480003,경기도 파주시3,경기도 파주시 금촌동(금촌역교차로 부근),4,4,0,3,1,0,126.7743422,37.76476541,"{""type"":""Polygon"",""coordinates"":[[[126.77613883,37.76476541],[126.77610431,37.76448832],[126.77600207,37.76422188],[126.77583605,37.76397633],[126.77561261,37.7637611],[126.77534036,37.76358447],[126.77502974,37.76345322],[126.77469271,37.76337239],[126.7743422,37.7633451],[126.7739917,37.76337239],[126.77365466,37.76345322],[126.77334405,37.76358447],[126.77307179,37.7637611],[126.77284836,37.76397633],[126.77268233,37.76422188],[126.7725801,37.76448832],[126.77254557,37.76476541],[126.7725801,37.76504249],[126.77268233,37.76530893],[126.77284836,37.76555448],[126.77307179,37.7657697],[126.77334405,37.76594633],[126.77365466,37.76607758],[126.7739917,37.7661584],[126.7743422,37.76618569],[126.77469271,37.7661584],[126.77502974,37.76607758],[126.77534036,37.76594633],[126.77561261,37.7657697],[126.77583605,37.76555448],[126.77600207,37.76530893],[126.77610431,37.76504249],[126.77613883,37.76476541]]]}"
6402553,2018029,4148012200,41480004,경기도 파주시4,경기도 파주시 와동(운정1동행정복지센터앞교차로 부근),3,4,2,0,2,0,126.7500741,37.72315604,"{""type"":""Polygon"",""coordinates"":[[[126.7518707,37.72315604],[126.75183618,37.7228788],[126.75173394,37.72261221],[126.75156791,37.72236652],[126.75134448,37.72215117],[126.75107222,37.72197443],[126.75076161,37.72184311],[126.75042457,37.72176224],[126.75007407,37.72173493],[126.74972356,37.72176224],[126.74938653,37.72184311],[126.74907592,37.72197443],[126.74880366,37.72215117],[126.74858023,37.72236652],[126.7484142,37.72261221],[126.74831196,37.7228788],[126.74827744,37.72315604],[126.74831196,37.72343328],[126.7484142,37.72369986],[126.74858023,37.72394555],[126.74880366,37.7241609],[126.74907592,37.72433762],[126.74938653,37.72446894],[126.74972356,37.72454981],[126.75007407,37.72457712],[126.75042457,37.72454981],[126.75076161,37.72446894],[126.75107222,37.72433762],[126.75134448,37.7241609],[126.75156791,37.72394555],[126.75173394,37.72369986],[126.75183618,37.72343328],[126.7518707,37.72315604]]]}"
6512637,2019036,4148010100,41480001,경기도 파주시1,경기도 파주시 금촌동(메디인병원 부근),8,10,1,4,5,0,126.7754404,37.7586965,"{""type"":""Polygon"",""coordinates"":[[[126.777237,37.7586965],[126.77720247,37.75841939],[126.77710024,37.75815293],[126.77693421,37.75790736],[126.77671078,37.75769211],[126.77643852,37.75751546],[126.77612791,37.7573842],[126.77579087,37.75730337],[126.77544037,37.75727608],[126.77508986,37.75730337],[126.77475283,37.7573842],[126.77444221,37.75751546],[126.77416996,37.75769211],[126.77394652,37.75790736],[126.7737805,37.75815293],[126.77367826,37.75841939],[126.77364374,37.7586965],[126.77367826,37.75897361],[126.7737805,37.75924007],[126.77394652,37.75948564],[126.77416996,37.75970088],[126.77444221,37.75987752],[126.77475283,37.76000878],[126.77508986,37.76008961],[126.77544037,37.7601169],[126.77579087,37.76008961],[126.77612791,37.76000878],[126.77643852,37.75987752],[126.77671078,37.75970088],[126.77693421,37.75948564],[126.77710024,37.75924007],[126.77720247,37.75897361],[126.777237,37.7586965]]]}"
6512638,2019036,4148010100,41480002,경기도 파주시2,경기도 파주시 금촌동(금촌사거리 부근),4,4,0,3,1,0,126.7751742,37.76352663,"{""type"":""Polygon"",""coordinates"":[[[126.77697086,37.76352663],[126.77693634,37.76324954],[126.7768341,37.7629831],[126.77666807,37.76273754],[126.77644464,37.76252231],[126.77617238,37.76234567],[126.77586177,37.76221442],[126.77552473,37.76213359],[126.77517423,37.7621063],[126.77482372,37.76213359],[126.77448669,37.76221442],[126.77417607,37.76234567],[126.77390382,37.76252231],[126.77368038,37.76273754],[126.77351436,37.7629831],[126.77341212,37.76324954],[126.7733776,37.76352663],[126.77341212,37.76380372],[126.77351436,37.76407016],[126.77368038,37.76431571],[126.77390382,37.76453094],[126.77417607,37.76470757],[126.77448669,37.76483882],[126.77482372,37.76491964],[126.77517423,37.76494693],[126.77552473,37.76491964],[126.77586177,37.76483882],[126.77617238,37.76470757],[126.77644464,37.76453094],[126.77666807,37.76431571],[126.7768341,37.76407016],[126.77693634,37.76380372],[126.77697086,37.76352663]]]}"
6506304,2019036,4148025625,41480003,경기도 파주시3,경기도 파주시 법원읍(법원사거리 부근),3,3,0,2,1,0,126.8729161,37.84935421,"{""type"":""Polygon"",""coordinates"":[[[126.87471274,37.84935421],[126.87467821,37.84907745],[126.87457598,37.84881131],[126.87440995,37.84856604],[126.87418652,37.84835106],[126.87391426,37.84817463],[126.87360365,37.84804353],[126.87326661,37.84796279],[126.87291611,37.84793553],[126.8725656,37.84796279],[126.87222856,37.84804353],[126.87191795,37.84817463],[126.8716457,37.84835106],[126.87142226,37.84856604],[126.87125624,37.84881131],[126.871154,37.84907745],[126.87111947,37.84935421],[126.871154,37.84963098],[126.87125624,37.84989711],[126.87142226,37.85014238],[126.8716457,37.85035736],[126.87191795,37.85053378],[126.87222856,37.85066488],[126.8725656,37.85074561],[126.87291611,37.85077287],[126.87326661,37.85074561],[126.87360365,37.85066488],[126.87391426,37.85053378],[126.87418652,37.85035736],[126.87440995,37.85014238],[126.87457598,37.84989711],[126.87467821,37.84963098],[126.87471274,37.84935421]]]}"
