사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6243291,2017029,4682025024,46820001,전라남도 해남군1,전라남도 해남군 해남읍(고도교차로 부근),4,4,1,1,2,0,126.5952195,34.56550732,"{""type"":""Polygon"",""coordinates"":[[[126.59701614,34.56550732],[126.59698161,34.56521869],[126.59687938,34.56494115],[126.59671335,34.56468536],[126.59648991,34.56446116],[126.59621766,34.56427717],[126.59590705,34.56414044],[126.59557001,34.56405625],[126.59521951,34.56402782],[126.594869,34.56405625],[126.59453196,34.56414044],[126.59422135,34.56427717],[126.5939491,34.56446116],[126.59372566,34.56468536],[126.59355963,34.56494115],[126.5934574,34.56521869],[126.59342287,34.56550732],[126.5934574,34.56579596],[126.59355963,34.5660735],[126.59372566,34.56632928],[126.5939491,34.56655347],[126.59422135,34.56673746],[126.59453196,34.56687418],[126.594869,34.56695837],[126.59521951,34.5669868],[126.59557001,34.56695837],[126.59590705,34.56687418],[126.59621766,34.56673746],[126.59648991,34.56655347],[126.59671335,34.56632928],[126.59687938,34.5660735],[126.59698161,34.56579596],[126.59701614,34.56550732]]]}"
6398033,2018029,4682025021,46820001,전라남도 해남군1,전라남도 해남군 해남읍(해오름약국 부근),6,7,0,5,2,0,126.6074418,34.57089429,"{""type"":""Polygon"",""coordinates"":[[[126.60923845,34.57089429],[126.60920393,34.57060568],[126.60910169,34.57032815],[126.60893567,34.57007238],[126.60871223,34.5698482],[126.60843998,34.56966422],[126.60812936,34.5695275],[126.60779233,34.56944332],[126.60744182,34.56941489],[126.60709132,34.56944332],[126.60675428,34.5695275],[126.60644367,34.56966422],[126.60617141,34.5698482],[126.60594798,34.57007238],[126.60578195,34.57032815],[126.60567971,34.57060568],[126.60564519,34.57089429],[126.60567971,34.57118291],[126.60578195,34.57146043],[126.60594798,34.57171619],[126.60617141,34.57194037],[126.60644367,34.57212435],[126.60675428,34.57226106],[126.60709132,34.57234525],[126.60744182,34.57237367],[126.60779233,34.57234525],[126.60812936,34.57226106],[126.60843998,34.57212435],[126.60871223,34.57194037],[126.60893567,34.57171619],[126.60910169,34.57146043],[126.60920393,34.57118291],[126.60923845,34.57089429]]]}"
6614733,2020027,4682025000,46820001,전라남도 해남군1,전라남도 해남군 해남읍(해남군수협 부근),3,3,0,2,0,1,126.5959586,34.56729941,"{""type"":""Polygon"",""coordinates"":[[[126.59775524,34.56729941],[126.59772072,34.56701078],[126.59761848,34.56673324],[126.59745245,34.56647746],[126.59722902,34.56625327],[126.59695676,34.56606928],[126.59664615,34.56593256],[126.59630911,34.56584837],[126.59595861,34.56581994],[126.5956081,34.56584837],[126.59527107,34.56593256],[126.59496045,34.56606928],[126.5946882,34.56625327],[126.59446476,34.56647746],[126.59429874,34.56673324],[126.5941965,34.56701078],[126.59416198,34.56729941],[126.5941965,34.56758803],[126.59429874,34.56786557],[126.59446476,34.56812134],[126.5946882,34.56834553],[126.59496045,34.56852952],[126.59527107,34.56866623],[126.5956081,34.56875042],[126.59595861,34.56877885],[126.59630911,34.56875042],[126.59664615,34.56866623],[126.59695676,34.56852952],[126.59722902,34.56834553],[126.59745245,34.56812134],[126.59761848,34.56786557],[126.59772072,34.56758803],[126.59775524,34.56729941]]]}"
