사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6607633,2020027,4777031000,47770001,경상북도 영덕군1,경상북도 영덕군 강구면(신강구길1 부근),3,3,1,1,1,0,129.3805898,36.35698135,"{""type"":""Polygon"",""coordinates"":[[[129.38238643,36.35698135],[129.38235191,36.35669908],[129.38224967,36.35642765],[129.38208364,36.3561775],[129.38186021,36.35595824],[129.38158795,36.35577829],[129.38127734,36.35564458],[129.3809403,36.35556225],[129.3805898,36.35553444],[129.38023929,36.35556225],[129.37990226,36.35564458],[129.37959165,36.35577829],[129.37931939,36.35595824],[129.37909596,36.3561775],[129.37892993,36.35642765],[129.37882769,36.35669908],[129.37879317,36.35698135],[129.37882769,36.35726363],[129.37892993,36.35753506],[129.37909596,36.3577852],[129.37931939,36.35800446],[129.37959165,36.3581844],[129.37990226,36.3583181],[129.38023929,36.35840044],[129.3805898,36.35842824],[129.3809403,36.35840044],[129.38127734,36.3583181],[129.38158795,36.3581844],[129.38186021,36.35800446],[129.38208364,36.3577852],[129.38224967,36.35753506],[129.38235191,36.35726363],[129.38238643,36.35698135]]]}"
6607623,2020027,4777025000,47770002,경상북도 영덕군2,경상북도 영덕군 영덕읍(영남의원입구 부근),3,3,0,2,1,0,129.3680719,36.41136053,"{""type"":""Polygon"",""coordinates"":[[[129.36986855,36.41136053],[129.36983403,36.41107845],[129.36973179,36.41080721],[129.36956576,36.41055723],[129.36934233,36.41033813],[129.36907007,36.41015831],[129.36875946,36.41002469],[129.36842242,36.40994241],[129.36807192,36.40991463],[129.36772141,36.40994241],[129.36738438,36.41002469],[129.36707376,36.41015831],[129.36680151,36.41033813],[129.36657807,36.41055723],[129.36641205,36.41080721],[129.36630981,36.41107845],[129.36627529,36.41136053],[129.36630981,36.41164261],[129.36641205,36.41191384],[129.36657807,36.41216382],[129.36680151,36.41238292],[129.36707376,36.41256273],[129.36738438,36.41269634],[129.36772141,36.41277862],[129.36807192,36.4128064],[129.36842242,36.41277862],[129.36875946,36.41269634],[129.36907007,36.41256273],[129.36934233,36.41238292],[129.36956576,36.41216382],[129.36973179,36.41191384],[129.36983403,36.41164261],[129.36986855,36.41136053]]]}"
6683510,2021024,4777031000,47770001,경상북도 영덕군1,경상북도 영덕군 강구면(강구교차로 부근),4,4,1,2,1,0,129.3791177,36.35970471,"{""type"":""Polygon"",""coordinates"":[[[129.38091436,36.35970471],[129.38087984,36.35942244],[129.3807776,36.35915102],[129.38061158,36.35890088],[129.38038814,36.35868163],[129.38011589,36.35850169],[129.37980527,36.35836799],[129.37946824,36.35828565],[129.37911773,36.35825785],[129.37876723,36.35828565],[129.37843019,36.35836799],[129.37811958,36.35850169],[129.37784732,36.35868163],[129.37762389,36.35890088],[129.37745786,36.35915102],[129.37735562,36.35942244],[129.3773211,36.35970471],[129.37735562,36.35998697],[129.37745786,36.36025839],[129.37762389,36.36050853],[129.37784732,36.36072778],[129.37811958,36.36090771],[129.37843019,36.36104141],[129.37876723,36.36112374],[129.37911773,36.36115154],[129.37946824,36.36112374],[129.37980527,36.36104141],[129.38011589,36.36090771],[129.38038814,36.36072778],[129.38061158,36.36050853],[129.3807776,36.36025839],[129.38087984,36.35998697],[129.38091436,36.35970471]]]}"
